Wavelength (microns),E (W/m2/micron),Error on E
0.1195,6.19E-02,0.2487971061
0.1205,0.5614,0.7492663078
0.1215,4.901,2.213820228
0.1225,1.184,1.088117641
0.1235,4.77E-02,0.2184032967
0.1245,3.43E-02,0.1852025918
0.1255,2.88E-02,0.1697056275
0.1265,3.52E-02,0.1876166304
0.1275,2.13E-02,0.1459451952
0.1285,1.73E-02,0.1315294644
0.1295,3.99E-02,0.1997498436
0.1305,0.1206,0.3472751071
0.1315,3.98E-02,0.1994993734
0.1325,4.13E-02,0.2032240143
0.1335,0.168,0.4098780306
0.1345,4.57E-02,0.2137755833
0.1355,3.80E-02,0.1949358869
0.1365,3.09E-02,0.1757839583
0.1375,2.92E-02,0.1708800749
0.1385,3.97E-02,0.1992485885
0.1395,7.56E-02,0.2749545417
0.1405,6.08E-02,0.2465765601
0.1415,4.21E-02,0.2051828453
0.1425,4.68E-02,0.2163330765
0.1435,5.11E-02,0.2260530911
0.1445,5.09E-02,0.2256102835
0.1455,5.54E-02,0.2353720459
0.1465,7.09E-02,0.2662705391
0.1475,8.49E-02,0.2913760457
0.1485,8.20E-02,0.2863564213
0.1495,7.96E-02,0.2821347196
0.1505,8.70E-02,0.2949576241
0.1515,9.27E-02,0.304466747
0.1525,0.1163,0.3410278581
0.1535,0.1299,0.3604164258
0.1545,0.2059,0.4537620522
0.1555,0.2144,0.4630334761
0.1565,0.1847,0.4297673789
0.1575,0.1717,0.4143669871
0.1585,0.1675,0.4092676386
0.1595,0.1754,0.4188078318
0.1605,0.1934,0.4397726685
0.1615,0.2228,0.4720169488
0.1625,0.2519,0.5018964037
0.1635,0.2841,0.5330103188
0.1645,0.2973,0.5452522352
0.1655,0.4302,0.6558963333
0.1665,0.3989,0.631585307
0.1675,0.3875,0.6224949799
0.1685,0.4556,0.6749814812
0.1695,0.5877,0.7666159404
0.1705,0.6616,0.8133879763
0.1715,0.688,0.8294576541
0.1725,0.7252,0.8515867542
0.1735,0.7645,0.8743569065
0.1745,0.9067,0.9522079605
0.1755,1.079,1.038749248
0.1765,1.22,1.104536102
0.1775,1.403,1.18448301
0.1785,1.538,1.24016128
0.1795,1.576,1.255388386
0.1805,1.831,1.353144486
0.1815,2.233,1.494322589
0.1825,2.243,1.497664849
0.1835,2.244,1.497998665
0.1845,2.066,1.437358689
0.1855,2.311,1.520197356
0.1865,2.7,1.643167673
0.1875,3.009,1.734646938
0.1885,3.291,1.814111353
0.1895,3.569,1.889179716
0.1905,3.764,1.94010309
0.1915,4.165,2.040833163
0.1925,4.113,2.028053254
0.1935,3.808,1.951409747
0.1945,5.21,2.282542442
0.1955,5.427,2.329592239
0.1965,6.008,2.451122192
0.1975,6.191,2.48817202
0.1985,6.187,2.487368087
0.1995,6.664,2.581472448
0.2005,7.326,2.706658456
0.2015,8.023,2.832490071
0.2025,8.261,2.87419554
0.2035,9.217,3.035951251
0.2045,10.25,3.201562119
0.2055,10.54,3.246536616
0.2065,11.08,3.328663395
0.2075,12.65,3.556683849
0.2085,15.05,3.879432948
0.2095,21.38,4.623851209
0.2105,27.92,5.283937925
0.2115,33.54,5.791372894
0.2125,31.3,5.594640292
0.2135,33.15,5.757603668
0.2145,40.03,6.326926584
0.2155,36.15,6.012487006
0.2165,32.27,5.680668975
