Name,Mass_Msun,Distance_ly,Effective_temperature_K,Estimation_method
Westerhout 49-2,250,36200,35500,Spectroscopy
BAT99-98 (in Tarantula Nebula of LMC),226,"1,65,000","45,000",Spectroscopy
R136a1 (in Tarantula Nebula of LMC),196,"1,63,000","46,000",Evolution
Melnick 42 (in Tarantula Nebula of LMC),189,"1,63,000","47,300",Spectroscopy
VFTS 1022 (in Tarantula Nebula of LMC),178,"1,64,000","42,200",Spectroscopy
Westerhout 51-57 (in Westerhout 51),160,"20,000","42,700",Evolution
R136a3 (in Tarantula Nebula of LMC),155,"1,63,000","50,000",Evolution
VFTS 682 (in Tarantula Nebula of LMC),153,"1,64,000","52,200",Spectroscopy
HD 15558 A (in IC 1805 of Heart Nebula),152,"24,400","39,500",Binary
R136a2 (in Tarantula Nebula of LMC),151,"1,63,000","50,000",Evolution
Westerhout 51-3 (in Westerhout 51),148,"20,000","39,800",Evolution
Melnick 34 A (in Tarantula Nebula of LMC),147,"1,63,000","53,000",Binary
VFTS 482 (in Tarantula Nebula of LMC),145,"1,64,000","42,200",Spectroscopy
R136c (in Tarantula Nebula of LMC),142,"1,63,000","51,000",Evolution
VFTS 1021 (in Tarantula Nebula of LMC),141,"1,64,000","39,800",Spectroscopy
LH 10-3209 A (in NGC 1763 of LMC),140,"1,60,000","42,500",Spectroscopy
VFTS 506 (in Tarantula Nebula of LMC),138,"1,64,000","47,300",Spectroscopy
Melnick 34 B (in Tarantula Nebula of LMC),136,"1,63,000","53,000",Binary
Westerhout 51d (in Westerhout 51),135,"20,000","42,700",Evolution
VFTS 545 (in Tarantula Nebula of LMC),133,"1,64,000","47,300",Spectroscopy
HD 97950 B (WR 43b in HD 97950 of NGC 3603),132,"24,800","42,000",Spectroscopy
HD 269810 (in NGC 2029 of LMC),130,"1,63,000","52,500",Spectroscopy
Westerhout 49-1 (in Westerhout 49),130,"36,200","44,700",Evolution
R136a7 (in Tarantula Nebula of LMC),127,"1,63,000","54,000",Evolution
WR 42e (in HD 97950 of NGC 3603),123,"25,000","43,000",Ejection
HD 97950 A1a (WR 43a A in HD 97950 of NGC 3603),120,"24,800","42,000",Binary
LSS 4067 (in HM 1),120,"11,000","40,000",Evolution
WR 93 (in Pismis 24 of NGC 6357),120,"5,900","71,000",Evolution
Sk -69° 212 (in NGC 2044 of LMC),119,"1,60,000","45,400",Evolution
Sk -69° 249 A (in NGC 2074 of LMC),119,"1,60,000","38,900",Evolution
ST5-31 (in NGC 2074 of LMC),119,"1,60,000","50,700",Evolution
R136a5 (in Tarantula Nebula of LMC),116,"1,57,000","48,000",Evolution
MSP 183 (in Westerlund 2),115,"20,000","46,300",Spectroscopy
WR 24 (in Collinder 228 of Carina Nebula),114,"14,000","50,100",Evolution
HD 97950 C1 (WR 43c A in HD 97950 of NGC 3603),113,"24,800","44,000",Spectroscopy
Arches-F9 (WR 102ae in Arches Cluster),111.3,"25,000","36,600",Spectroscopy
Cygnus OB2 #12 A (in Cygnus OB2),110,"5,200","13,700",Spectroscopy
HD 93129 Aa (in Trumpler 14 of Carina Nebula),110,"7,500","42,500",Trinary
HSH95-36 (in Tarantula Nebula of LMC),110,"1,63,000","49,500",Evolution
R146 (in Tarantula Nebula of LMC),109,"1,64,000","63,000",Spectroscopy
R136a4 (in Tarantula Nebula of LMC),108,"1,57,000","50,000",Evolution
VFTS 621 (in Tarantula Nebula of LMC),107,"1,64,000","54,000",Spectroscopy
R136a6 (in Tarantula Nebula of LMC),105,"1,57,000","52,000",Evolution
Westerhout 49-3 (in Westerhout 49),105,"36,200","40,700",Evolution
WR 21a A (Runaway star from Westerlund 2),103.6,"26,100","45,000",Binary
R99 (in N44 of LMC),103,"1,64,000","28,000",Spectroscopy
Arches-F6 (WR 102ah in Arches Cluster),101,"25,000","33,900",Spectroscopy
Sk -65° 47 (in NGC 1923 of LMC),101,"1,60,000","47,800",Evolution
Arches-F1 (WR 102ad in Arches Cluster),100.9,"25,000","33,200",Spectroscopy
Peony Star (WR 102ka in Peony Nebula near Galactic Center),100,"26,000","25,100",Spectroscopy
VFTS 457 (in Tarantula Nebula of LMC),100,"1,64,000","39,800",Spectroscopy
η Carinae A (in Trumpler 16 of Carina Nebula),100,"7,500","35,200",Spectroscopy
Mercer 30-1 A (WR 46-3 A in Mercer 30 of Dragonfish Nebula),99,"40,000","32,200",Evolution
Sk -68° 137 (in Tarantula Nebula of LMC),99,"1,60,000","50,000",Spectroscopy
WR 25 A (in Trumpler 16 of Carina Nebula),98,"6,500","50,100",Evolution
